cases
0
0
0
0
0
0
0
0
1
79
543
3726
14362
26440
30791
28533
30088
27597
25047
22743
22360
20498
21153
20622
25292
36526
48827
55543
65501
66368
62187
52619
52595
43107
41119
40640
34021
39921
44146
42580
47987
54849
66811
79779
118928
145093
170938
163427
191078
211961
213953
188358
205187
